import time: self [us] | cumulative | imported package
import time:       227 |       3010 |                               prompt_toolkit.formatted_text.html
import time:       145 |        145 |                               prompt_toolkit.formatted_text.pygments
import time:       190 |        190 |                               prompt_toolkit.formatted_text.utils
import time:       165 |      17380 |                             prompt_toolkit.formatted_text
import time:       399 |      17778 |                           prompt_toolkit.completion.base
import time:       152 |        152 |                           prompt_toolkit.completion.deduplicate
import time:       321 |        321 |                           prompt_toolkit.completion.filesystem
import time:       164 |        164 |                             prompt_toolkit.completion.word_completer
import time:       504 |        667 |                           prompt_toolkit.completion.fuzzy_completer
import time:       263 |        263 |                           prompt_toolkit.completion.nested
import time:       211 |      19389 |                         prompt_toolkit.completion
import time:       403 |        403 |                         prompt_toolkit.history
import time:       312 |        312 |                         prompt_toolkit.search
import time:       279 |        279 |                         prompt_toolkit.validation
import time:      1329 |      27896 |                       prompt_toolkit.buffer
import time:       266 |        266 |                           prompt_toolkit.input.base
import time:       168 |        168 |                           prompt_toolkit.input.defaults
import time:       154 |        587 |                         prompt_toolkit.input
import time:        55 |        641 |                       prompt_toolkit.input.base
import time:       136 |        136 |                       prompt_toolkit.input.typeahead
import time:        97 |         97 |                         prompt_toolkit.key_binding.bindings
import time:       126 |        126 |                         prompt_toolkit.key_binding.bindings.scroll
import time:       182 |        404 |                       prompt_toolkit.key_binding.bindings.page_navigation
import time:       426 |        426 |                                       prompt_toolkit.lexers.base
import time:       608 |        608 |                                       prompt_toolkit.lexers.pygments
import time:       160 |       1193 |                                     prompt_toolkit.lexers
import time:       591 |        591 |                                       prompt_toolkit.layout.utils
import time:       758 |       1349 |                                     prompt_toolkit.layout.processors
import time:       743 |       3284 |                                   prompt_toolkit.layout.controls
import time:       232 |        232 |                                   prompt_toolkit.layout.dimension
import time:       278 |        278 |                                   prompt_toolkit.layout.margins
import time:       147 |        147 |                                   prompt_toolkit.layout.mouse_handlers
import time:       253 |        253 |                                   prompt_toolkit.layout.screen
import time:      2326 |       6518 |                                 prompt_toolkit.layout.containers
import time:       324 |        324 |                                 prompt_toolkit.layout.layout
import time:       422 |        422 |                                 prompt_toolkit.layout.menus
import time:       262 |        262 |                                 prompt_toolkit.layout.scrollable_pane
